comments,keywords
: BLG 3:0 虐菜屠殺局    十點前沒結束算G2贏,"[':', ' ', 'BLG', ' ', '3', ':', '0', ' ', '虐菜', '屠殺局', ' ', ' ', ' ', ' ', '十點', '前', '沒', '結束', '算', 'G2', '贏']"
: G2會贏,"[':', ' ', 'G2', '會贏']"
: G2會贏，只要贏一把就是G2的巨大勝利,"[':', ' ', 'G2', '會贏', '，', '只要', '贏', '一把', '就是', 'G2', '的', '巨大', '勝利']"
: g2 打滿bo5算贏,"[':', ' ', 'g2', ' ', '打滿', 'bo5', '算贏']"
: G2加油點 我把這個月抽輪椅的一單下在你們身上了,"[':', ' ', 'G2', '加油', '點', ' ', '我', '把', '這個', '月', '抽輪椅', '的', '一單', '下', '在', '你', '們', '身上', '了']"
: 應該是MAD太爛 不是G2強,"[':', ' ', '應該', '是', 'MAD', '太爛', ' ', '不是', 'G2', '強']"
: 都打幾個bo5了 還想爆冷喔 BLG最多搞笑一場,"[':', ' ', '都', '打', '幾個', 'bo5', '了', ' ', '還想', '爆冷', '喔', ' ', 'BLG', '最多', '搞笑', '一場']"
: Let's Go G2,"[':', ' ', 'Let', ""'"", 's', ' ', 'Go', ' ', 'G2']"
: G2加油,"[':', ' ', 'G2', '加油']"
: lets go G2,"[':', ' ', 'lets', ' ', 'go', ' ', 'G2']"
: 希望G2至少能拿下一場,"[':', ' ', '希望', 'G2', '至少', '能', '拿下', '一場']"
: 在入圍賽沒碰到我們算BLG好運 他們不必浪費生命陪玩,"[':', ' ', '在', '入', '圍賽', '沒', '碰到', '我們', '算', 'BLG', '好運', ' ', '他們', '不必', '浪費', '生命', '陪', '玩']"
: G2贏一場算贏,"[':', ' ', 'G2', '贏一場', '算贏']"
: 歐美最後機會了,"[':', ' ', '歐美', '最後機會', '了']"
: Let's Go G2,"[':', ' ', 'Let', ""'"", 's', ' ', 'Go', ' ', 'G2']"
: 老實說偷一場就很棒了,"[':', ' ', '老實', '說', '偷', '一場', '就', '很棒', '了']"
: 歐洲就專門送冠軍給LPL的,"[':', ' ', '歐洲', '就', '專門', '送', '冠軍給', 'LPL', '的']"
: 是說今天沒有樂透ㄇ,"[':', ' ', '是', '說', '今天', '沒有', '樂透', 'ㄇ']"
: 請問最後的勝部冠軍有輸一次BO的機會嗎??,"[':', ' ', '請問', '最', '後', '的', '勝部', '冠軍有', '輸', '一次', 'BO', '的', '機會', '嗎', '?', '?']"
: 回19樓 沒有 雖然不知道你是認真問還是來亂,"[':', ' ', '回', '19', '樓', ' ', '沒有', ' ', '雖然', '不', '知道', '你', '是', '認真問', '還是', '來', '亂']"
: 0,"[':', ' ', '0']"
: 因為有些賽制 敗部要贏兩次,"[':', ' ', '因為', '有些', '賽制', ' ', '敗部要', '贏兩次']"
: 希望ELK的發揮和前天打JDG一樣好,"[':', ' ', '希望', 'ELK', '的', '發揮', '和', '前天', '打', 'JDG', '一樣', '好']"
: 拳頭在MSI預告片說過 這個就是完全雙敗 不接受反駁,"[':', ' ', '拳頭', '在', 'MSI', '預告片', '說過', ' ', '這個', '就是', '完全', '雙敗', ' ', '不', '接受', '反駁']"
: 能拿一場就算雞兔贏了吧,"[':', ' ', '能', '拿', '一場', '就算', '雞', '兔贏', '了', '吧']"
: BLG虐這些爛賽區還是隨便虐  雖然WBG TES EDG比較強,"[':', ' ', 'BLG', '虐', '這些', '爛賽區', '還是', '隨便', '虐', ' ', ' ', '雖然', 'WBG', ' ', 'TES', ' ', 'EDG', '比', '較強']"
: 別吹那個白痴WBG了,"[':', ' ', '別吹', '那個', '白痴', 'WBG', '了']"
: 還在吹TES WBG EDG 熊哥真愛,"[':', ' ', '還在', '吹', 'TES', ' ', 'WBG', ' ', 'EDG', ' ', '熊哥', '真愛']"
: 夏季賽我還是看好WBG TES EDG出國  加油吧,"[':', ' ', '夏季', '賽', '我', '還是', '看好', 'WBG', ' ', 'TES', ' ', 'EDG', '出國', ' ', ' ', '加油', '吧']"
: G2希望全在Caps身上，能不能回神一下,"[':', ' ', 'G2', '希望', '全在', 'Caps', '身上', '，', '能', '不能', '回', '神', '一下']"
: G2先選邊？,"[':', ' ', 'G2', '先選邊', '？']"
: WBG夏季找了丹尼又不給他能玩輪盤的材料+不練角老,"[':', ' ', 'WBG', '夏季', '找', '了', '丹尼', '又', '不給', '他', '能', '玩', '輪盤', '的', '材料', '+', '不練角', '老']"
: 人是要打三小,"[':', ' ', '人', '是', '要', '打三小']"
: 真的 caps回神感覺有的打 牙膏頗爛,"[':', ' ', '真的', ' ', 'caps', '回神', '感覺', '有', '的', '打', ' ', '牙膏', '頗爛']"
: Caps請神吧，請一下2019的自己吧,"[':', ' ', 'Caps', '請神', '吧', '，', '請', '一下', '2019', '的', '自己', '吧']"
: caps目前打了好幾場，沒一場看起來有回神的,"[':', ' ', 'caps', '目前', '打', '了', '好', '幾場', '，', '沒一場', '看', '起來', '有', '回神', '的']"
: 牙膏本來就爛 開季前我就講了 JDG團隊都知道你不知?,"[':', ' ', '牙膏', '本來', '就爛', ' ', '開季', '前', '我', '就', '講了', ' ', 'JDG', '團隊', '都', '知道', '你', '不知', '?']"
: 熊哥 丹尼都跑去wbg了你還能看好？？？,"[':', ' ', '熊哥', ' ', '丹尼', '都', '跑', '去', 'wbg', '了', '你', '還能', '看好', '？', '？', '？']"
: 神左就是海放牙膏 所以JDG才高價換人 很難懂嗎,"[':', ' ', '神', '左', '就是', '海放', '牙膏', ' ', '所以', 'JDG', '才', '高價換', '人', ' ', '很難', '懂', '嗎']"
: Caps從季後賽就在爛了,"[':', ' ', 'Caps', '從', '季後賽', '就', '在爛', '了']"
: 永遠支持shy哥的隊伍!! 希望WBG出國 唯一破口16強JG,"[':', ' ', '永遠', '支持', 'shy', '哥', '的', '隊伍', '!', '!', ' ', '希望', 'WBG', '出國', ' ', '唯一', '破口', '16', '強', 'JG']"
: 熊哥 G2還有四強實力嗎,"[':', ' ', '熊哥', ' ', 'G2', '還有', '四強', '實力', '嗎']"
: 要繼續靠Blade打穿對面，不太可能了,"[':', ' ', '要', '繼續', '靠', 'Blade', '打穿', '對面', '，', '不太可能', '了']"
: Hansama打穿Elk也很難，希望全在Caps身上,"[':', ' ', 'Hansama', '打穿', 'Elk', '也', '很', '難', '，', '希望', '全在', 'Caps', '身上']"
: 不用問我EU NA吧  全部組一隊都打不贏LPL LCK#4,"[':', ' ', '不用', '問我', 'EU', ' ', 'NA', '吧', ' ', ' ', '全部', '組一隊', '都', '打', '不贏', 'LPL', ' ', 'LCK', '#', '4']"
: 還有一個機會…等xun送,"[':', ' ', '還有', '一個', '機會', '…', '等', 'xun', '送']"
: PCS是多窮 主播檯一張椅子都不放==?,"[':', ' ', 'PCS', '是', '多', '窮', ' ', '主播', '檯', '一張', '椅子', '都', '不放', '=', '=', '?']"
: 英文台那麼早就上呼吸器了= =,"[':', ' ', '英文', '台', '那麼', '早就', '上', '呼吸器', '了', '=', ' ', '=']"
: 但你需要等對手送才有機會那說明情況不樂觀了,"[':', ' ', '但', '你', '需要', '等', '對', '手', '送', '才', '有', '機會', '那', '說明', '情況', '不樂觀', '了']"
: Xun再怎麼送，也不可能送三場,"[':', ' ', 'Xun', '再', '怎麼', '送', '，', '也', '不', '可能', '送三場']"
: JATT那大衣上面都是呼吸罩？？,"[':', ' ', 'JATT', '那', '大衣', '上面', '都', '是', '呼吸', '罩', '？', '？']"
: 打Bo5，靠送的，沒用,"[':', ' ', '打', 'Bo5', '，', '靠', '送', '的', '，', '沒用']"
: 應該能贏一場...吧?,"[':', ' ', '應該', '能', '贏一場', '...', '吧', '?']"
: 可是Xun真的很能送欸,"[':', ' ', '可是', 'Xun', '真的', '很能', '送', '欸']"
: 這周打完就沒了 終於能看LPL了,"[':', ' ', '這周', '打', '完', '就', '沒', '了', ' ', '終於能', '看', 'LPL', '了']"
: BLG上個Bo最戳的是雙C吧 Xun倒還好,"[':', ' ', 'BLG', '上個', 'Bo', '最', '戳', '的', '是雙', 'C', '吧', ' ', 'Xun', '倒', '還好']"
: BrokenBlade真的有強嗎,"[':', ' ', 'BrokenBlade', '真的', '有強', '嗎']"
: BLG教練聽我說 不用ban納帝魯斯,"[':', ' ', 'BLG', '教練', '聽', '我', '說', ' ', '不用', 'ban', '納帝', '魯斯']"
: 笑死 英文台把BB吹上天了,"[':', ' ', '笑', '死', ' ', '英文', '台', '把', 'BB', '吹', '上天', '了']"
: 又再鞭屍G2,"[':', ' ', '又', '再', '鞭屍', 'G2']"
: 這兩隊中路都超爛,"[':', ' ', '這兩隊', '中路', '都', '超爛']"
: ZOD這麼看好G2喔…,"[':', ' ', 'ZOD', '這麼', '看好', 'G2', '喔', '…']"
